[1.4299947218531464, 0.0, 'arm stopped', 1447936745.517, 9.299206070290111e-05, 0.0, 'arm moving up', 1447936745.421, 0.004379628490319032, 0.0, 'hand above elbow', 1447936745.319, 0.006576880211628833, 0.0, 'closing forearm', 1447936745.22, 0.10802135106549926, 0.0, 'no walking', 1447936744.819, 0.27417588048873043, 0.0]
[1.4299947218531464, 0.0, 'forearm stopped', 1447936745.517, 0.0, 0.0, 'arm stopped', 1447936745.517, 9.299206070290111e-05, 0.0, 'arm moving up', 1447936745.421, 0.004379628490319032, 0.0, 'hand above elbow', 1447936745.319, 0.006576880211628833, 0.0, 'closing forearm', 1447936745.22, 0.10802135106549926, 0.0]
[1.430238495125242, 0.0, 'closing forearm', 1447936745.623, 0.000243773272095682, 0.0, 'forearm stopped', 1447936745.517, 0.0, 0.0, 'arm stopped', 1447936745.517, 9.299206070290111e-05, 0.0, 'arm moving up', 1447936745.421, 0.004379628490319032, 0.0, 'hand above elbow', 1447936745.319, 0.006576880211628833, 0.0]
[1.4187334049510891, 0.0, 'arm moving down', 1447936745.724, -0.01150509017415291, 0.0, 'closing forearm', 1447936745.623, 0.000243773272095682, 0.0, 'forearm stopped', 1447936745.517, 0.0, 0.0, 'arm stopped', 1447936745.517, 9.299206070290111e-05, 0.0, 'arm moving up', 1447936745.421, 0.004379628490319032, 0.0]
[1.4105234698088975, 0.0, 'opening forearm', 1447936745.82, -0.008209935142191593, 0.0, 'arm moving down', 1447936745.724, -0.01150509017415291, 0.0, 'closing forearm', 1447936745.623, 0.000243773272095682, 0.0, 'forearm stopped', 1447936745.517, 0.0, 0.0, 'arm stopped', 1447936745.517, 9.299206070290111e-05, 0.0]
[1.4105234698088975, 0.0, 'hand under elbow', 1447936745.82, 0.0, 0.0, 'opening forearm', 1447936745.82, -0.008209935142191593, 0.0, 'arm moving down', 1447936745.724, -0.01150509017415291, 0.0, 'closing forearm', 1447936745.623, 0.000243773272095682, 0.0, 'forearm stopped', 1447936745.517, 0.0, 0.0]
[1.4075964087361008, 0.0, 'arm stopped', 1447936745.922, -0.0029270610727967217, 0.0, 'hand under elbow', 1447936745.82, 0.0, 0.0, 'opening forearm', 1447936745.82, -0.008209935142191593, 0.0, 'arm moving down', 1447936745.724, -0.01150509017415291, 0.0, 'closing forearm', 1447936745.623, 0.000243773272095682, 0.0]
[1.4075964087361008, 0.0, 'forearm stopped', 1447936745.922, 0.0, 0.0, 'arm stopped', 1447936745.922, -0.0029270610727967217, 0.0, 'hand under elbow', 1447936745.82, 0.0, 0.0, 'opening forearm', 1447936745.82, -0.008209935142191593, 0.0, 'arm moving down', 1447936745.724, -0.01150509017415291, 0.0]
[1.0978272871722683, 0.0, 'walking backward', 1447936819.918, 1.0978272871722683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.1686232378608092, 0.0, 'arm moving up', 1447936820.019, 0.07079595068854094, 0.0, 'walking backward', 1447936819.918, 1.0978272871722683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
