dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
3.0343,0,5,0,-0.00024805,0,6,0.098,-0.00044909,0,1,-0.098,-0.00044909,0,14,0.102,3.035,0,16,-0.298,3.035,0,1
2.4289,0,1,0,0.048879,0,5,0.098,0.14777,0,1,0.102,0.097288,0,9,-0.297,0.097288,0,12,1.703,0.051397,0,1
1.5876,0,8,0,1.5876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2.5335,0,13,0,0.04176,0,5,0.208,2.4917,0,12,-0.208,2.4917,0,1,-0.115,2.4917,0,0,0,0,0,1
2.5335,0,8,0,0.04176,0,13,0,0.04176,0,5,0.208,2.4917,0,12,-0.208,2.4917,0,1,-0.115,2.4917,0,1
1.5861,0,4,0,-4.0641e-05,0,12,0.00099993,-4.0641e-05,0,8,0.097,-0.053052,0,15,0.0049999,-0.049974,0,7,-0.203,-0.049974,0,3
1.5711,0,8,0,0.00048396,0,5,0.198,0.0014141,0,1,-0.098,0.0021829,0,11,0.0030003,0.01188,0,4,0.405,0.0003913,0,2
1.558,0,5,0,-0.0003523,0,8,0.096,-0.0074028,0,3,-0.095,-0.0074028,0,5,0.105,-0.0022094,0,1,-0.203,-0.0022094,0,2
1.7829,0,6,0,-0.01112,0,3,0,-0.01112,0,14,0.095,-0.011314,0,16,-0.095,-0.011314,0,4,-0.094,-0.011314,0,4
4.0054,0,3,0,4.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2.3631,0,8,0,-0.21677,0,5,0.499,-0.048666,0,8,-0.398,-0.13783,0,1,-0.402,-0.24415,0,8,-0.699,-0.24415,0,5
1.8561,0,14,0,-0.12768,0,1,0.0010002,-0.12768,0,2,-0.0010002,-0.12768,0,12,-0.0010002,-0.12768,0,16,0.098,-0.12768,0,4
2.2058,0,4,0,-0.069156,0,2,0.099,-0.069156,0,7,-2.3842e-07,-0.039174,0,8,-0.198,-0.039174,0,14,-0.0020003,-0.12042,0,1
3.9948,0,1,0,-0.0063288,0,2,0,-0.0063288,0,5,0.105,-0.0028914,0,1,-0.0079999,0.00096351,0,4,-0.202,0.00096351,0,5
1.5526,0,8,0,0.0043823,0,5,0.2,0.00024339,0,1,-0.099,-0.0016537,0,4,-0.3,-0.0016537,0,8,-0.2,-0.0016537,0,2
1.9138,0,11,0,-0.0026375,0,5,0.2,-0.0073636,0,1,0.0020001,-0.001222,0,4,-0.402,-0.001222,0,6,-0.205,-0.00010971,0,2
1.5618,0,4,0,0.0036535,0,14,0.099,0.0036535,0,7,-0.099,0.0036535,0,8,-0.098,0.0036535,0,2,-0.1,0.0036535,0,2
1.7765,0,10,0,-0.062795,0,2,0.1,-0.062795,0,15,-0.0089998,-0.032951,0,5,-0.19,-0.032951,0,8,-0.09,1.8723,0,3
1.6932,0,2,0,0.074491,0,8,0.104,0.038743,0,13,-0.104,0.038743,0,15,-0.0050001,0.038743,0,4,-0.203,0.038743,0,3
1.8255,0,16,0,-0.0015562,0,2,0.099,-0.036176,0,4,0.104,-0.033406,0,5,-0.205,-0.033406,0,12,-0.399,-0.033406,0,3
1.3628,0,5,0,-0.073535,0,3,0.199,-0.11445,0,8,-0.099,-0.17975,0,5,-0.199,-0.17975,0,1,-0.199,-0.40738,0,6
1.8138,0,3,0,-0.010269,0,4,0.2,-0.026831,0,12,-0.2,-0.026831,0,5,-0.094,-0.077177,0,14,-0.207,-0.077177,0,4
3.1928,0,14,0,0.050327,0,16,0,0.050327,0,9,0.00099993,0.050327,0,4,0.103,0.015979,0,8,-0.0090001,0.047058,0,1
1.7878,0,4,0,0.0038384,0,1,0.092,0.0038384,0,2,-0.092,0.0038384,0,4,0.016,0.0010389,0,5,-0.103,-4.8442e-05,0,4
2.1285,0,16,0,0.8455,0,9,0.998,0.092729,0,15,-0.896,0.019634,0,5,-0.998,0.020076,0,8,-1.104,0.020076,0,7
1.4631,0,5,0,-0.00096965,0,8,0.098,0.0011932,0,5,0.304,0.0012152,0,1,-0.402,0.0012152,0,5,-0.498,0.00011121,0,1
1.3871,0,15,0,0.00025112,0,14,0.091,0.00025112,0,16,-0.091,0.00025112,0,15,0.107,-0.095875,0,12,5.717,-2.7007,0,5
2.5335,0,8,0,0.04176,0,13,0,0.04176,0,5,0.208,2.4917,0,12,-0.208,2.4917,0,1,-0.115,2.4917,0,1
3.1928,0,9,0,0.050327,0,4,0.104,0.015979,0,8,-0.0080001,0.047058,0,2,-0.2,0.047058,0,11,0.00099993,0.055581,0,1
4.0268,0,4,0,0.0092302,0,8,0.104,0.012208,0,1,-0.014,4.0054,0,3,-0.194,4.0054,0,0,0,0,0,5
1.7359,0,16,0,0.081946,0,3,0,0.081946,0,9,0,0.081946,0,5,0.203,0.0217,0,4,-0.202,0.0217,0,3
2.0012,0,8,0,0.041522,0,9,0,0.041522,0,5,0.197,0.066768,0,1,0.003,1.8929,0,0,0,0,0,1
1.928,0,2,0,-0.10511,0,15,0.101,-0.070227,0,8,-0.101,-0.070227,0,4,0,-0.035472,0,5,-0.102,-0.037312,0,4
1.554,0,8,0,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.6321,0,5,0,-0.00079819,0,3,0,-0.0058682,0,15,0.096,-0.0058682,0,1,-0.095,-0.0058682,0,4,0.0019999,0.0076958,0,4
2.3001,0,10,0,-0.046645,0,5,0.1,-0.030111,0,1,-0.0010002,-0.12593,0,5,0.203,-0.088685,0,1,-0.503,-0.057456,0,1
3.9892,0,1,0,-0.0071967,0,2,0.00099993,-0.0071967,0,5,0.699,-0.0026726,0,8,-0.605,-0.0013114,0,5,-0.593,-0.0033099,0,5
3.9228,0,8,0,0.05513,0,5,0.098,0.05513,0,1,0.00099993,0.088517,0,5,-0.096,0.025856,0,4,-0.298,0.025856,0,5
2.0608,0,2,0,0.0017249,0,8,0.1,-0.0001228,0,5,0.099,-0.00041057,0,1,-0.098,-0.0033015,0,5,-0.2,-0.0013927,0,2
1.5895,0,2,0,0.02195,0,14,0.096,1.5675,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2.38,0,5,0,0.14777,0,1,0.2,0.097288,0,9,-0.199,0.097288,0,12,1.801,0.051397,0,9,-2.108,0.17549,0,1
3.2139,0,3,0,0.014459,0,6,0.097,3.1995,0,1,-0.097,3.1995,0,0,0,0,0,0,0,0,0,5
1.8086,0,1,0,0.063816,0,14,0.2,0.029254,0,16,-0.2,0.029254,0,5,0.0059998,0.022398,0,4,-0.406,0.022398,0,3
3.0334,0,15,0,-0.34264,0,5,0.098,-0.34264,0,8,0.098,-0.15332,0,5,-0.091,-0.12962,0,1,-0.194,-0.18684,0,5
2.0135,0,2,0,-0.055524,0,10,0.097,-0.15112,0,12,0.608,0.0095834,0,5,-0.7,0.02618,0,4,-0.904,0.02618,0,3
1.6381,0,4,0,0.0060184,0,14,0.206,-0.00079819,0,16,-0.206,-0.00079819,0,6,-0.206,-0.00079819,0,5,-0.206,-0.00079819,0,4
2.7621,0,12,0,0.038692,0,9,0.108,0.023674,0,5,-0.0090001,0.023674,0,4,-0.206,0.023674,0,8,-0.113,0.11654,0,1
4.003,0,14,0,-0.0049336,0,16,0,-0.0049336,0,8,0.095,-0.0014145,0,3,-0.094,-0.0014145,0,5,0.003,-0.0014145,0,5
1.9804,0,4,0,0.0061227,0,5,0.107,-0.0075797,0,2,-0.107,-0.0075797,0,1,-0.0070002,-0.016041,0,5,-0.106,-0.016041,0,3
2.5291,0,8,0,-0.13939,0,5,0.202,-0.1949,0,1,-0.103,-0.1949,0,8,-0.104,-0.05322,0,1,-0.398,-0.18503,0,5
2.094,0,15,0,0.033234,0,12,0.203,0.020759,0,4,-0.0020001,0.018333,0,3,-0.303,0.08611,0,9,-0.407,0.20639,0,1
2.181,0,5,0,-0.024725,0,4,0.106,-0.069156,0,2,-0.0069997,-0.069156,0,7,-0.106,-0.039174,0,8,-0.304,-0.039174,0,1
3.3012,0,1,0,0.019765,0,5,0.099,0.020335,0,8,-0.00099993,0.016532,0,13,-0.196,0.016532,0,5,-0.096,0.030694,0,5
4.0558,0,6,0,-0.014436,0,8,0,-0.014436,0,1,0.1,4.0702,0,3,-0.1,4.0702,0,0,0,0,0,5
1.8561,0,16,0,-0.12768,0,5,0,-0.12768,0,4,0.00099993,-0.12768,0,7,0.201,-0.096893,0,8,-0.203,-0.096893,0,4
1.8669,0,8,0,0.020779,0,5,0.095,0.0026688,0,3,-0.095,0.0026688,0,8,0.0089998,-0.012678,0,14,-0.101,-0.12768,0,4
2.3893,0,12,0,0.25031,0,5,0.6,0.13778,0,8,-0.498,0.041522,0,9,-0.702,0.041522,0,5,-0.505,0.066768,0,1
1.7839,0,4,0,0.0010389,0,5,0.097,-4.8442e-05,0,3,-0.097,-4.8442e-05,0,1,0.0020003,-4.8442e-05,0,4,-0.195,-4.8442e-05,0,4
1.8655,0,5,0,-0.048281,0,2,0,-0.048281,0,12,0.0010002,-0.048281,0,8,0.104,-0.040315,0,7,-0.0080004,-0.040315,0,4
1.928,0,7,0,-0.10511,0,2,0,-0.10511,0,15,0.101,-0.070227,0,8,-0.101,-0.070227,0,4,0,-0.035472,0,4
1.925,0,6,0,-0.00010971,0,3,0.099,1.9251,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.7448,0,14,0,0.029254,0,16,0,0.029254,0,5,0.206,0.022398,0,4,-0.206,0.022398,0,12,-0.206,0.022398,0,3
1.6023,0,16,0,0.0013198,0,15,0.1,0.0013198,0,14,0.1,0.0012362,0,16,-0.299,0.0012362,0,15,-0.0019999,0.0018353,0,6
1.548,0,4,0,-0.0016537,0,8,0.102,-0.0016537,0,3,-0.102,-0.0016537,0,5,0.093,-0.00057434,0,4,-0.297,-0.00057434,0,2
1.5514,0,1,0,-0.0036317,0,3,0,-0.0036317,0,8,0.099,-0.0014055,0,1,-0.0019999,-0.0014055,0,4,-0.092,-0.0015114,0,2
1.9238,0,9,0,0.010536,0,5,0.1,0.0011283,0,8,0.0080001,0.0030543,0,4,-0.208,0.0030543,0,3,-0.114,0.020548,0,7
3.2258,0,3,0,0.15649,0,1,0.102,0.12072,0,14,0.091,0.43115,0,16,-0.295,0.43115,0,15,0.111,0.29973,0,7
1.9138,0,4,0,-0.040315,0,8,0.105,-0.13425,0,1,-0.012,2.0883,0,2,-0.198,2.0883,0,10,-0.197,2.0883,0,4
1.5567,0,1,0,4.8965e-05,0,3,0.099,-0.0010814,0,4,0.101,0.00075862,0,14,-0.196,0.00091778,0,5,-0.401,0.00091778,0,2
1.9765,0,8,0,0.00014743,0,11,0.1,-0.0011686,0,5,0.1,-0.003263,0,1,-0.1,1.9807,0,4,-0.5,1.9807,0,2
1.7878,0,2,0,0.0038384,0,4,0.108,0.0010389,0,5,-0.011,-4.8442e-05,0,3,-0.205,-4.8442e-05,0,1,-0.106,-4.8442e-05,0,4
1.5799,0,9,0,1.5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2.1459,0,10,0,2.1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3.8371,0,4,0,-0.0026281,0,5,0.101,-0.0026281,0,2,-0.0019996,-0.013214,0,15,-0.105,-0.0085973,0,14,-0.089,-0.0013403,0,5
2.1605,0,10,0,-0.051923,0,2,0.097,-0.051923,0,14,0.302,0.085803,0,12,0.506,0.28098,0,9,-0.798,-0.2334,0,1
2.29,0,9,0,0.12125,0,1,0.101,0.012598,0,3,-0.101,0.012598,0,5,-0.0020001,0.012598,0,8,-0.097,-0.024911,0,1
3.0105,0,5,0,-0.048947,0,8,0.1,-0.11738,0,5,0.202,-0.12739,0,1,-0.202,-0.10202,0,10,-0.601,-0.10202,0,5
4.0268,0,1,0,0.0092302,0,5,0.095,0.0092302,0,4,-0.095,0.0092302,0,8,0.0089998,0.012208,0,1,-0.109,4.0054,0,5
4.422,0,4,0,0.0089319,0,2,0.094,4.413,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4.3637,0,5,0,-0.00037054,0,8,0.1,-0.028194,0,5,0.1,-0.011864,0,4,-0.3,-0.011864,0,1,-0.2,4.4041,0,5
2.5854,0,1,0,0.0019362,0,5,0.31,0.00053052,0,8,-0.211,0.0025769,0,5,-0.309,0.00037072,0,1,-0.413,0.00037072,0,1
1.5451,0,5,0,-0.0098619,0,3,0,-0.0098619,0,1,0.095,-0.0029027,0,4,-0.095,-0.0029027,0,8,0.0049999,-0.0029027,0,4
1.6616,0,1,0,0.010845,0,3,0,0.010845,0,5,0.1,0.013347,0,1,-0.00099969,1.6374,0,0,0,0,0,4
4.0934,0,1,0,-0.0024896,0,5,0.2,0.0076921,0,8,-2.3842e-07,0.010733,0,5,-0.2,-0.011502,0,1,-0.5,-0.011502,0,5
1.5451,0,5,0,-0.0098619,0,3,0,-0.0098619,0,1,0.095,-0.0029027,0,4,-0.095,-0.0029027,0,8,0.0049999,-0.0029027,0,4
1.555,0,8,0,-0.0029027,0,1,0.101,0.0058499,0,14,-0.0010002,0.0036142,0,2,-0.201,0.0036142,0,5,-0.0039999,0.01714,0,4
1.6392,0,15,0,-0.049974,0,7,0,-0.049974,0,1,0,-0.049974,0,2,0,-0.049974,0,16,0.1,-0.049974,0,3
2.0883,0,10,0,2.0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2.6998,0,8,0,0.11654,0,2,0,0.11654,0,5,0.599,0.0073284,0,8,-0.492,0.0032618,0,5,-0.612,-0.0018886,0,1
3.0346,0,1,0,-0.00044909,0,14,0.2,3.035,0,16,-0.2,3.035,0,0,0,0,0,0,0,0,0,1
1.6187,0,4,0,0.038743,0,1,0.097,1.5799,0,2,-0.097,1.5799,0,9,-0.097,1.5799,0,0,0,0,0,3
1.6763,0,12,0,-0.035731,0,15,0.095,-0.035731,0,2,-0.094,-0.035731,0,10,-0.096,-0.035731,0,1,0.0039999,1.7121,0,3
1.7074,0,5,0,-0.02351,0,12,0,-0.02351,0,7,0.1,-0.045625,0,8,-0.1,-0.045625,0,4,-0.1,-0.045625,0,3
1.9138,0,7,0,-0.040315,0,5,0,-0.040315,0,4,0.0010002,-0.040315,0,8,0.104,-0.13425,0,1,-0.013,2.0883,0,4
1.9091,0,3,0,0.020548,0,14,0.299,0.026096,0,16,-0.299,0.026096,0,15,0.402,1.8625,0,5,-1,1.8625,0,7
1.961,0,4,0,-0.052461,0,2,0.103,-0.055524,0,10,-0.0059998,-0.15112,0,12,0.505,0.0095834,0,5,-0.803,0.02618,0,3
1.5508,0,8,0,-0.17975,0,5,0.1,-0.17975,0,1,0.1,-0.40738,0,10,0.4,2.1379,0,0,0,0,0,6
