dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
1.9467,0,5,0,-0.1674,0,4,0,-0.1674,0,2,0.198,-0.12926,0,4,-0.101,-0.18687,0,8,-0.196,-0.059852,0,7
3.274,0,4,0,0.068494,0,5,0.101,0.065368,0,2,-0.101,0.065368,0,15,-0.0020001,0.44519,0,1,-0.199,0.44519,0,5
2.1728,0,3,0,0.075094,0,5,0.099,0.071163,0,1,0.0040002,0.071163,0,9,-0.202,0.071163,0,8,-0.102,0.29965,0,7
1.4155,0,1,0,0.029592,0,8,0.099,0.029592,0,1,-0.0049999,0.0024055,0,15,0.014,-0.0015344,0,14,-0.298,-0.0226,0,4
1.7138,0,3,0,-0.050261,0,16,0.1,-0.19649,0,1,0.102,-0.065092,0,4,-0.302,-0.065092,0,5,-0.203,-0.065092,0,4
1.6532,0,8,0,-0.037231,0,4,0,-0.037231,0,2,0.2,-0.094414,0,15,-0.0059998,-0.22301,0,10,-0.393,-0.22301,0,4
3.9565,0,16,0,0.023102,0,15,0.1,0.052417,0,4,0.0010002,0.052417,0,14,-0.0020001,0.010736,0,7,-0.199,0.017485,0,1
1.5049,0,12,0,-0.18555,0,10,0.397,-0.11118,0,12,1.505,0.12129,0,14,-1.998,0.049368,0,16,-2.6,0.049368,0,6
1.6686,0,7,0,0.044597,0,8,0.201,0.015768,0,4,0.102,-0.058105,0,5,-0.407,-0.058105,0,1,-0.399,-0.01973,0,4
3.8359,0,14,0,0.11649,0,16,0,0.11649,0,5,0,0.11649,0,9,0.00099993,0.11649,0,1,0.099,0.05178,0,1
3.71,0,11,0,-0.00066338,0,5,0.2,0.00096206,0,16,-0.003,0.00058252,0,1,-0.397,0.00058252,0,8,-0.295,0.0047717,0,1
4.197,0,12,0,0.015755,0,1,0.099,0.088566,0,9,0.196,0.12295,0,14,0.0080004,0.00999,0,16,-0.796,0.00999,0,2
3.9692,0,5,0,-0.0094009,0,8,0.099,-0.010885,0,5,0.0020001,-0.011248,0,8,-0.0020001,-0.049086,0,4,-0.397,-0.049086,0,2
2.8909,0,11,0,-0.45859,0,15,0.502,-0.1508,0,16,-0.302,-0.19896,0,4,-0.402,-0.055622,0,10,-1.001,-0.055622,0,5
1.5814,0,16,0,-0.0037273,0,5,0,-0.0037273,0,12,0,-0.0037273,0,1,0.104,-0.012779,0,4,-0.103,-0.012779,0,7
4.1193,0,7,0,-0.063646,0,8,0.00099993,-0.063646,0,2,0.196,-0.0033721,0,1,-0.099,-0.00062789,0,5,0.0030003,0.0011788,0,1
